,Order Quantity,Unit Price,Discount,Sales,Profit,Customer Segment_Consumer,Customer Segment_Corporate,Customer Segment_Home Office,Customer Segment_Small Business,Customer Segment_nan
113,24,226.67,0.04,5407.31,1068.48,0,0,1,0,0
114,34,2.08,0.08,74.3,-129.01,0,1,0,0,0
115,44,499.99,0.06,21506.77,1260.51,0,0,0,1,0
116,28,20.98,0.02,669.02,-1274.02,0,0,0,1,0
117,40,30.53,0.08,1143.49,-193.44,0,0,0,1,0
118,46,1.68,0.01,78.08,-43.1,0,0,0,1,0
119,19,270.98,0.02,5297.47,-158.93,0,1,0,0,0
120,20,4.48,0.0,95.3,29.68,0,1,0,0,0
121,40,10.9,0.01,460.68,-116.76,0,0,0,1,0
122,49,7.99,0.1,318.7585,-160.95,0,0,0,1,0
123,47,21.66,0.04,1020.61,-209.61,0,0,1,0,0
124,44,6.48,0.09,268.34,-240.83,0,1,0,0,0
125,6,35.44,0.08,209.0,12.32,0,0,0,1,0
126,30,15.99,0.04,501.32,-119.08,0,0,0,1,0
127,23,11.34,0.05,275.16,43.35,0,0,0,1,0
128,37,35.44,0.02,1302.99,545.49,0,0,0,1,0
129,1,30.98,0.09,40.1,-16.07,0,0,0,1,0
130,42,34.54,0.09,1414.05,161.48,0,0,0,1,0
131,34,170.98,0.09,5350.61,-1059.2,0,1,0,0,0
132,15,20.95,0.07,310.87,-21.48,1,0,0,0,0
133,48,207.48,0.09,9062.73,3122.78,0,0,1,0,0
134,27,58.14,0.07,1584.1,-478.22,0,0,1,0,0
135,42,6.64,0.03,283.58,-14.23,0,0,1,0,0
136,39,145.45,0.06,5403.37,948.79,0,0,1,0,0
137,35,2.21,0.03,82.15,-6.33,0,0,1,0,0
138,50,40.99,0.02,2066.16,372.36,0,0,0,1,0
139,18,243.98,0.02,4605.36,678.26,0,1,0,0,0
140,42,39.98,0.02,1753.51,155.72,0,1,0,0,0
141,31,12.58,0.0,426.34,73.53,0,0,0,1,0
142,36,48.58,0.01,1837.44,-1414.41,0,0,1,0,0
143,36,105.98,0.04,3722.29,950.68,0,0,1,0,0
144,4,7.04,0.09,28.05,-5.41,0,0,1,0,0
145,32,9.78,0.04,311.44,74.07,0,1,0,0,0
146,17,12.22,0.01,215.65,77.38,0,1,0,0,0
147,3,43.98,0.1,121.12,-118.82,0,0,1,0,0
148,8,34.76,0.0,300.2,6.41,0,1,0,0,0
149,29,55.99,0.07,1364.8025,-183.68,0,1,0,0,0
150,19,6.48,0.05,128.21,-55.13,0,1,0,0,0
151,9,30.56,0.09,252.79,58.23,0,1,0,0,0
152,10,5.16,0.09,50.97,4.45,0,0,0,1,0
153,1,3.68,0.04,4.99,-3.06,0,0,0,1,0
154,30,355.98,0.09,10554.63,1240.25,0,1,0,0,0
155,8,218.75,0.04,1749.64,-533.23,0,1,0,0,0
156,47,41.47,0.03,1943.72,-1003.58,0,1,0,0,0
157,6,2.78,0.01,18.37,-4.06,0,1,0,0,0
158,49,155.99,0.07,6175.777,1881.58,0,1,0,0,0
159,6,22.84,0.01,157.97,-42.38,0,0,0,1,0
160,25,5.78,0.09,144.84,-120.99,1,0,0,0,0
161,20,6.7,0.09,127.16,12.88,1,0,0,0,0
162,4,1360.14,0.06,5472.12,-2816.34,0,0,1,0,0
163,7,270.98,0.09,1810.67,-541.87,0,0,0,1,0
164,31,20.97,0.09,633.56,-158.87,0,0,0,1,0
165,27,22.84,0.04,644.4,-97.28,0,0,1,0,0
166,7,180.98,0.1,1211.98,-80.83,0,1,0,0,0
167,27,130.98,0.08,3316.08,-514.32,1,0,0,0,0
168,48,4.28,0.09,207.08,-131.82,0,1,0,0,0
169,8,28.28,0.09,234.28,-65.42,0,1,0,0,0
170,41,55.99,0.09,1779.8915,-250.17,0,1,0,0,0
171,30,3.8,0.05,114.12,15.73,0,1,0,0,0
172,15,30.73,0.09,436.05,-92.58,0,1,0,0,0
173,49,125.99,0.0,5247.4835,1465.87,0,1,0,0,0
174,9,20.99,0.0,173.417,18.23,0,1,0,0,0
175,18,1270.99,0.0,23792.93,10951.31,0,0,0,1,0
176,21,11.97,0.03,256.12,-18.19,0,1,0,0,0
177,30,12.28,0.01,387.0,-31.45,0,0,1,0,0
178,31,39.24,0.06,1143.45,304.42,0,1,0,0,0
179,2,17.98,0.06,42.31,-53.08,0,1,0,0,0
180,11,12.95,0.04,152.67,12.76,0,1,0,0,0
181,49,1.68,0.08,82.61,-46.25,0,0,0,1,0
182,31,25.98,0.1,789.94,-190.41,0,0,1,0,0
183,42,10.31,0.08,435.24,174.89,0,0,0,1,0
184,8,59.78,0.05,473.7,72.51,0,0,0,1,0
185,33,20.99,0.08,553.5625,-76.86,0,0,0,1,0
186,32,1.68,0.02,54.78,-30.54,0,1,0,0,0
187,47,7.08,0.1,304.83,23.82,0,1,0,0,0
188,31,574.74,0.07,16066.85,7416.43,1,0,0,0,0
189,17,36.55,0.09,618.9,54.92,0,0,1,0,0
190,35,55.99,0.02,1665.0395,366.51,0,0,1,0,0
191,21,51.75,0.08,1049.79,135.79,1,0,0,0,0
192,16,55.29,0.1,817.18,103.38,1,0,0,0,0
193,49,9.65,0.1,465.83,-79.72,0,1,0,0,0
194,13,20.99,0.0,241.706,-92.96,0,0,0,1,0
195,44,7.99,0.1,275.91,-162.37,0,1,0,0,0
196,2,7.64,0.04,30.83,7.27,0,1,0,0,0
197,13,8.85,0.03,121.66,-11.8,1,0,0,0,0
198,16,6.48,0.02,108.42,-50.82,0,1,0,0,0
199,27,2.88,0.06,78.47,17.99,0,1,0,0,0
200,30,880.98,0.04,26133.39,-11053.6,0,0,1,0,0
201,14,200.97,0.06,2671.21,636.18,0,1,0,0,0
202,26,20.89,0.08,531.66,135.65,0,0,1,0,0
203,28,11.58,0.06,317.85,-13.95,0,0,1,0,0
204,42,4.13,0.09,163.08,66.17,0,0,1,0,0
205,38,2.78,0.1,103.07,-0.95,0,1,0,0,0
206,1,14.48,0.0,17.19,-35.34,0,0,0,1,0
207,27,99.99,0.04,2689.48,399.93,0,0,0,1,0
208,2,4.98,0.01,15.31,-8.15,0,0,0,1,0
209,13,21.98,0.1,270.63,7.07,0,1,0,0,0
210,43,195.99,0.09,6583.913,1459.79,0,1,0,0,0
211,24,200.97,0.03,4865.72,1951.3,0,0,1,0,0
212,23,40.97,0.01,1003.31,51.9,0,0,0,1,0
213,17,349.45,0.04,6048.18,1418.36,0,0,0,1,0
214,41,80.97,0.1,3051.27,121.48,0,0,1,0,0
215,47,216.6,0.06,9633.59,176.67,0,1,0,0,0
216,26,140.81,0.0,3758.77,753.61,0,1,0,0,0
217,6,22.72,0.04,143.78,75.3,0,1,0,0,0
218,22,19.98,0.05,440.92,-65.18,0,0,0,1,0
219,3,1500.97,0.09,4343.51,-3755.03,0,1,0,0,0
220,29,20.95,0.03,593.32,28.99,0,1,0,0,0
221,26,23.99,0.03,626.07,185.32,0,1,0,0,0
222,24,24.92,0.09,557.23,-42.99,0,0,1,0,0
223,7,39.48,0.08,261.88,-59.2,0,1,0,0,0
224,15,38.76,0.04,593.73,108.01,0,1,0,0,0
225,49,2.47,0.03,120.77,19.86,0,1,0,0,0
226,22,33.94,0.0,795.74,-127.39,0,0,1,0,0
227,31,8.33,0.07,251.75,22.46,0,0,1,0,0
228,36,18.97,0.04,697.41,81.71,0,0,0,1,0
229,30,150.98,0.01,4684.9,-549.27,0,1,0,0,0
230,6,140.81,0.04,905.94,-4.19,0,0,1,0,0
231,12,22.84,0.08,270.23,52.02,0,0,1,0,0
232,20,34.76,0.09,660.27,63.83,0,0,1,0,0
233,11,2.88,0.05,32.4,8.78,0,1,0,0,0
234,26,205.99,0.0,4688.9485,1215.44,0,1,0,0,0
235,8,5.4,0.08,50.7,-44.07,0,1,0,0,0
236,10,8.46,0.09,90.06,-100.51,0,1,0,0,0
237,22,14.98,0.21,338.52,-17.75,0,1,0,0,0
238,48,155.99,0.04,6109.817,1374.95,0,1,0,0,0
239,1,25.38,0.02,34.11,-12.95,0,0,1,0,0
240,48,10.97,0.01,538.22,-154.66,1,0,0,0,0
241,11,99.99,0.06,1064.23,-127.56,0,0,1,0,0
242,18,193.17,0.0,3497.05,282.18,0,0,1,0,0
243,44,20.99,0.08,774.0525,-96.34,0,0,1,0,0
244,3,19.99,0.02,74.05,44.54,0,0,0,1,0
245,37,150.98,0.0,5753.85,2509.52,0,1,0,0,0
246,48,370.98,0.03,18235.47,1166.93,0,1,0,0,0
247,16,179.99,0.0,2631.107,297.11,0,1,0,0,0
248,32,6.74,0.1,209.42,65.41,1,0,0,0,0
249,32,10.89,0.1,324.4,-46.98,0,0,0,1,0
250,19,6.48,0.01,137.02,-46.89,0,0,0,1,0
251,1,223.98,0.02,232.67,-105.14,0,1,0,0,0
252,34,140.98,0.07,4805.92,-393.96,0,1,0,0,0
253,1,54.96,0.09,62.26,-23.24,0,1,0,0,0
254,47,1.26,0.07,58.53,-24.86,0,1,0,0,0
255,31,4.98,0.09,157.79,-95.92,0,1,0,0,0
256,19,18.99,0.03,376.21,89.56,0,0,1,0,0
257,37,46.89,0.08,1601.24,520.69,0,1,0,0,0
258,40,12.98,0.05,501.31,38.23,0,1,0,0,0
259,2,10.91,0.05,24.96,-12.8,0,1,0,0,0
260,31,4.98,0.01,166.76,-46.03,0,1,0,0,0
261,2,415.88,0.08,811.13,-517.47,0,1,0,0,0
262,15,65.99,0.1,822.8425,4.39,1,0,0,0,0
263,35,115.99,0.05,3310.9455,822.4,0,1,0,0,0
264,10,5.02,0.08,55.02,-56.12,0,0,0,1,0
265,10,19.84,0.05,192.58,24.6,0,1,0,0,0
266,40,6.75,0.01,291.67,54.46,0,0,0,1,0
267,50,5.74,0.1,281.39,-106.4,1,0,0,0,0
268,49,270.97,0.09,12593.91,2699.67,1,0,0,0,0
269,22,260.98,0.01,6123.94,1292.44,0,0,1,0,0
270,49,387.99,0.05,19325.2,8793.54,0,0,0,1,0
271,48,160.98,0.0,8380.22,813.83,0,0,0,1,0
272,11,3.08,0.03,35.17,5.58,0,0,0,1,0
273,35,499.99,0.08,17387.65,6907.61,0,1,0,0,0
274,44,138.14,0.05,6040.22,-942.5,0,1,0,0,0
275,17,41.94,0.03,691.59,261.24,0,1,0,0,0
276,45,7.31,0.01,345.2,183.53,0,1,0,0,0
277,36,65.99,0.06,1955.0765,470.83,0,0,0,1,0
278,27,7.64,0.03,217.93,-29.02,0,1,0,0,0
279,6,40.97,0.06,254.76,109.88,0,0,1,0,0
280,21,299.05,0.0,6806.66,801.72,0,1,0,0,0
281,3,291.73,0.1,891.61,-328.36,0,1,0,0,0
282,5,30.42,0.03,165.04,-112.44,0,1,0,0,0
283,2,415.88,0.07,789.01,-539.59,0,1,0,0,0
284,4,19.94,0.04,97.57,-27.31,0,1,0,0,0
285,31,3.68,0.09,110.32,-32.65,0,1,0,0,0
286,26,11.97,0.04,321.68,-12.25,0,0,0,1,0
287,34,29.74,0.09,971.95,-21.1,0,0,0,1,0
288,23,95.43,0.03,2149.03,-235.56,0,0,0,1,0
289,12,300.65,0.04,3671.3,900.06,0,0,1,0,0
290,42,45.19,0.08,1763.6,455.37,0,0,1,0,0
291,14,28.53,0.02,403.17,147.45,0,1,0,0,0
292,15,5.68,0.02,89.97,23.48,0,1,0,0,0
293,28,15.51,0.04,456.91,-328.18,0,1,0,0,0
294,46,5.81,0.1,249.02,-282.61,0,1,0,0,0
295,41,1.81,0.03,78.49,5.53,0,1,0,0,0
296,4,6.68,0.1,40.72,-10.25,0,0,0,1,0
297,27,3.93,0.02,113.3,37.33,0,0,0,1,0
298,8,150.98,0.02,1219.19,44.37,0,1,0,0,0
299,15,1.76,0.0,28.68,-0.12,0,1,0,0,0
300,19,177.98,0.01,3548.67,1280.19,0,1,0,0,0
301,8,20.24,0.02,178.78,-28.34,0,0,1,0,0
302,41,150.98,0.08,6045.98,-996.67,0,1,0,0,0
303,3,20.99,0.01,56.695,-70.97,0,1,0,0,0
304,24,65.99,0.01,1350.531,221.18,0,1,0,0,0
305,20,5.18,0.06,100.4,11.94,0,1,0,0,0
306,19,17.24,0.04,327.15,47.3,0,1,0,0,0
307,11,2.6,0.09,30.51,-17.68,0,1,0,0,0
308,8,14.97,0.07,127.8,-30.48,0,1,0,0,0
309,4,60.98,0.08,242.36,-131.48,0,1,0,0,0
310,25,29.74,0.0,802.19,56.26,0,1,0,0,0
311,4,12.21,0.08,63.52,-8.47,0,1,0,0,0
312,13,29.14,0.05,371.94,106.53,0,1,0,0,0
313,31,11.5,0.04,349.43,-44.92,0,0,1,0,0
314,3,15.7,0.02,58.33,-35.08,0,0,1,0,0
315,47,225.02,0.05,10377.22,965.48,0,0,1,0,0
316,14,9.27,0.0,140.66,11.34,0,1,0,0,0
317,5,6.84,0.02,42.89,-32.48,0,1,0,0,0
318,48,4.98,0.09,226.5,-173.15,0,1,0,0,0
319,13,32.98,0.04,438.93,-119.02,0,1,0,0,0
320,31,500.97,0.06,15251.5,5353.19,0,0,1,0,0
321,13,2.61,0.02,34.42,9.47,0,1,0,0,0
322,26,7.31,0.1,172.76,73.18,0,1,0,0,0
323,50,20.99,0.1,853.162,-83.95,0,1,0,0,0
324,6,5.34,0.02,35.65,-5.92,0,0,1,0,0
325,49,4.06,0.03,199.86,-257.11,0,0,1,0,0
326,18,99.99,0.03,1888.02,192.33,0,0,1,0,0
327,27,11.58,0.01,322.69,1.91,0,0,1,0,0
328,5,3.36,0.06,22.06,-22.28,0,1,0,0,0
329,19,699.99,0.07,12616.2,2808.22,0,1,0,0,0
330,31,4.71,0.0,148.17,-7.06,0,0,1,0,0
331,39,5.84,0.07,217.25,33.5,0,1,0,0,0
332,28,218.75,0.07,5993.74,-998.94,0,1,0,0,0
333,23,15.98,0.08,361.65,-144.27,0,1,0,0,0
334,45,22.38,0.05,1038.82,-78.36,0,0,1,0,0
335,47,12.95,0.09,564.39,51.82,0,0,1,0,0
336,6,155.99,0.01,826.9735,-413.33,0,1,0,0,0
337,33,35.99,0.02,999.226,381.17,1,0,0,0,0
338,24,99.99,0.06,2298.32,218.72,0,1,0,0,0
339,24,48.91,0.04,1168.15,-743.96,0,0,0,1,0
340,47,3.78,0.02,181.78,71.56,0,0,1,0,0
341,46,26.31,0.09,1184.32,-99.55,0,0,0,1,0
342,3,20.95,0.01,71.94,-70.68,0,0,0,1,0
343,10,55.98,0.08,550.61,98.32,0,0,0,1,0
344,18,80.98,0.1,1373.11,-599.54,0,0,0,1,0
345,32,12.21,0.07,368.18,-36.78,0,1,0,0,0
346,16,13.9,0.08,224.47,-49.31,0,1,0,0,0
347,1,55.5,0.07,104.85,-98.31,0,1,0,0,0
348,47,5.28,0.03,256.0,-119.84,1,0,0,0,0
349,20,296.18,0.06,6067.76,-98.05,1,0,0,0,0
350,29,92.23,0.06,2754.93,-1.33,0,1,0,0,0
351,15,1270.99,0.03,19417.55,8417.57,0,1,0,0,0
352,40,122.99,0.03,4842.21,-1975.26,0,0,1,0,0
353,31,18.99,0.04,615.58,168.0,0,1,0,0,0
354,41,218.08,0.1,8387.1,2113.95,0,1,0,0,0
355,6,20.24,0.09,126.02,66.97,0,1,0,0,0
356,30,2.18,0.0,68.14,6.37,0,1,0,0,0
357,14,4.98,0.06,71.47,-62.73,0,1,0,0,0
358,10,65.99,0.02,568.3355,-147.36,0,0,1,0,0
359,38,65.99,0.0,2157.3085,519.25,0,1,0,0,0
360,26,50.98,0.04,1363.0,149.83,0,1,0,0,0
361,36,124.49,0.04,4698.5,-219.38,0,1,0,0,0
362,16,22.38,0.09,347.47,-86.2,0,1,0,0,0
363,23,63.94,0.1,1404.22,202.87,1,0,0,0,0
364,3,4.13,0.05,17.52,-12.16,0,0,1,0,0
365,36,122.99,0.06,4273.8,-1775.83,1,0,0,0,0
366,25,7.1,0.02,192.18,-48.88,0,0,1,0,0
367,22,21.38,0.01,483.96,-34.09,0,0,1,0,0
368,10,35.99,0.04,308.363,42.27,0,0,1,0,0
369,26,85.99,0.06,1911.4035,822.89,0,0,1,0,0
370,29,30.73,0.1,862.2,-45.1,0,1,0,0,0
371,7,15.7,0.02,120.03,-56.06,0,0,1,0,0
372,1,11.5,0.0,18.92,-18.25,0,1,0,0,0
373,45,4.48,0.03,237.28,-2088.68,0,0,0,1,0
374,5,67.84,0.08,324.55,-12.82,0,1,0,0,0
375,31,276.2,0.04,8901.78,2795.36,0,1,0,0,0
376,15,85.99,0.07,1062.959,298.48,1,0,0,0,0
377,35,200.98,0.02,7468.86,2155.41,0,0,0,1,0
378,12,65.99,0.02,710.328,-10.3,0,0,0,1,0
379,4,896.99,0.05,3510.82,232.44,0,0,1,0,0
380,19,15.01,0.06,281.84,-21.85,0,1,0,0,0
381,25,20.97,0.05,509.52,-145.78,0,1,0,0,0
382,10,10.01,0.06,97.02,-3.96,0,1,0,0,0
383,32,6.68,0.02,225.16,-33.69,0,0,1,0,0
384,20,9.77,0.0,205.33,10.68,0,1,0,0,0
385,17,76.72,0.05,1368.14,171.26,0,0,1,0,0
386,42,59.98,0.09,2475.83,752.37,0,1,0,0,0
387,40,65.99,0.03,2205.7585,337.04,0,0,1,0,0
388,21,23.99,0.04,524.2,158.98,0,1,0,0,0
389,39,162.93,0.03,6553.45,2969.81,0,0,0,1,0
390,45,10.94,0.05,497.14,240.41,0,0,0,1,0
391,21,40.98,0.02,917.39,393.41,0,0,0,1,0
392,19,5.99,0.08,110.67,-43.75,0,1,0,0,0
393,20,65.99,0.0,1163.123,83.84,0,1,0,0,0
394,48,4.57,0.03,224.58,-144.76,0,1,0,0,0
395,34,10.67,0.07,365.77,155.69,0,1,0,0,0
396,34,442.14,0.01,16073.03,5386.32,0,1,0,0,0
397,15,1.74,0.02,30.68,-37.39,0,0,0,1,0
398,1,55.99,0.07,54.077,-232.99,0,1,0,0,0
399,27,33.98,0.09,899.97,-246.3,1,0,0,0,0
400,40,200.99,0.08,6789.9275,1864.66,1,0,0,0,0
401,5,135.99,0.02,748.29,-183.6,0,1,0,0,0
402,37,63.94,0.0,2522.21,1026.07,0,0,1,0,0
403,28,140.99,0.01,4181.82,1765.48,0,0,1,0,0
404,39,20.99,0.05,680.8585,319.1,0,0,0,1,0
405,20,39.24,0.06,759.84,162.83,0,0,1,0,0
406,19,7.64,0.08,147.39,-30.92,0,0,1,0,0
407,5,54.74,0.0,294.0,181.53,0,0,1,0,0
408,34,6.3,0.01,216.3,103.16,0,1,0,0,0
409,12,2.84,0.1,31.6,-3.64,0,1,0,0,0
410,43,3.58,0.08,154.18,-166.92,0,1,0,0,0
411,18,5.85,0.05,110.31,-1.22,0,1,0,0,0
412,41,3.29,0.02,137.51,21.62,0,1,0,0,0
413,27,10.98,0.04,302.2,20.27,0,1,0,0,0
414,46,8.45,0.04,399.58,-188.53,0,0,0,1,0
415,8,5.89,0.08,52.39,-17.38,0,1,0,0,0
416,12,4.91,0.04,61.09,24.06,0,0,1,0,0
417,48,15.94,0.02,777.76,63.46,0,0,1,0,0
418,4,22.84,0.05,108.87,-39.92,0,0,1,0,0
419,48,204.1,0.05,10051.52,4938.78,0,0,0,1,0
420,1,98.31,0.05,97.13,-37.06,0,1,0,0,0
421,26,60.98,0.07,1523.5,-807.89,0,0,1,0,0
422,5,145.45,0.06,756.15,-280.28,0,0,0,1,0
423,1,12.28,0.04,18.15,-7.26,0,0,0,1,0
424,12,107.53,0.04,1323.67,630.28,0,1,0,0,0
425,17,2.89,0.09,47.44,14.49,0,0,0,1,0
426,2,20.98,0.0,51.21,-27.53,0,1,0,0,0
427,20,100.8,0.01,2195.55,-355.94,0,1,0,0,0
428,30,120.98,0.05,3482.41,1443.35,0,0,1,0,0
429,43,16.98,0.09,683.46,-138.82,0,1,0,0,0
430,50,12.98,0.08,600.22,27.86,0,0,1,0,0
431,9,7.99,0.06,64.0305,-58.34,1,0,0,0,0
432,49,195.99,0.03,8551.544,2763.13,0,1,0,0,0
433,2,136.98,0.08,291.66,-192.92,0,0,1,0,0
434,5,125.99,0.06,503.3275,-488.31,0,1,0,0,0
435,1,115.99,0.06,171.71,-343.47,0,0,0,1,0
436,39,32.48,0.02,1326.04,-1129.96,0,0,1,0,0
437,22,182.55,0.06,3881.89,-803.52,0,0,1,0,0
438,1,2.88,0.04,17.89,10.51,0,1,0,0,0
439,47,2.94,0.07,137.18,6.04,0,1,0,0,0
440,48,12.28,0.04,617.26,-37.52,0,0,0,1,0
441,45,349.45,0.03,13104.992,5626.42,0,0,0,1,0
442,6,120.97,0.08,700.73,-188.58,0,0,1,0,0
443,28,21.98,0.0,667.55,204.74,1,0,0,0,0
444,43,15.99,0.04,701.46,-90.14,0,0,0,1,0
